Registro_ANS;Logradouro;Numero;Complemento;Bairro;Cidade;UF;CEP
421812;AVENIDA REPUBLICA ARGENTINA;1336;CJ 1216 - ANDAR 12 - COND. INSPIRA BUSIN;VILA IZABEL;Curitiba;PR;80620010
418277;RUA DOUTOR CARVALHO DE MENDONÃ‡A;238;CONJUNTO 66;VILA BELMIRO;Santos;SP;11070101
329282;AVENIDA REPÃšBLICA DO CHILE;230;SALAS 2401 A 2501;CENTRO;Rio de Janeiro;RJ;20031919
423564;AVENIDA BRASIL;2174;SALA 02;CENTRO-NORTE;Sorriso;MT;78890125
423572;AVENIDA ABUNA;2250;grupo 1001;SÃƒO JOÃƒO BOSCO;Porto Velho;RO;76803762
420301;AVENIDA RIO BRANCO;404;SALA 602, BLOCO II;CENTRO;FlorianÃ³polis;SC;88015200
419427;RUA BARÃ£O DO TRIUNFO;175;;MENINO DEUS;Porto Alegre;RS;90130101
419010;AVENIDA MARECHAL FLORIANO PEIXOTO;1895;;REBOUÃ§AS;Curitiba;PR;80230110
414981;RUA GENESIO REGO;211;;MONTE CASTELO;SÃ£o LuÃ­s;MA;65030650
415260;AVENIDA ERNANI DO AMARAL PEIXOTO;36;COMPLEMENTO 1301;CENTRO;NiterÃ³i;RJ;24020074
423173;Avenida Engenheiro Luiz Carlos Berrini;105;Edif. Berrini One, 26 andar;Cidade MonÃ§Ãµes;SÃ£o Paulo;SP;4571900
421839;SETOR SBN QD 02 BLOCO F SALA 413;BLOCO F;EDIFÃCIO VIA CAPITAL;ASA NORTE;BrasÃ­lia;DF;70040911
418340;RUA CONSELHEIRO SARAIVA;522;;VILA TIBÃ‰RIO;RibeirÃ£o Preto;SP;14050410
359394;RUA SANTOS DUMONT;766;;VILA TIBÃ‰RIO;RibeirÃ£o Preto;SP;14050060
423939;AV MANOEL DIAS DA SILVA;737;EDIF MULTI 1 ANDAR SALA 2A;PITUBA;Salvador;BA;41830000
417998;Avenida dos Autonomistas ;896;Anexo 900, Torre Santorini, Conj 1211;VILA YARA;Osasco;SP;6020012
420841;RUA DOM JOÃƒO MARIA OGNO;595;1Âº ANDAR;VILA MATILDE;SÃ£o Paulo;SP;3530050
312282;RUA TORQUATO DA SILVA LEITÃƒO;605;;SÃƒO DIMAS;Piracicaba;SP;13416215
421375;AVENIDA SÃƒO JOÃƒO;313;14Âº ANDAR, SALA 05;REPÃšBLICA;SÃ£o Paulo;SP;1043000
423424;AV DAS NACOES UNIDAS;10989;ANDAR 2 CONJ 22 SALA 03;BROOKLIN PAULISTA;SÃ£o Paulo;SP;4578900
319422;AVENIDA ANTÃ”NIO OMETTO;675;;VILA CLAUDIA;Limeira;SP;13480470
333875;RUA SANTA CASA;164;;CENTRO;Passos;MG;37904020
354562;AVENIDA INDEPENDENCIA;953;;ALTO;Piracicaba;SP;13419155
347655;RUA 2;297;;SAÃšDE;Rio Claro;SP;13500010
321320;PRAÃ‡A DR. JOSÃ‰ FURIATTI;153;;CENTRO;Taquaritinga;SP;15900037
329355;RUA DR. CARLINDO VALERIANI;337;;CENTRO;Porto Ferreira;SP;13660000
333808;RUA CARLOS KIELANDER;396;;CENTRO;Monte Alto;SP;15910000
345741;RUA SANTOS DUMONT;433;;CENTRO;Itapeva;SP;18400030
336831;R. SANTOS DUMONT;555;;VILA OPERARIA;MaringÃ¡;PR;87050100
366234;AVENIDA PRESIDENTE TANCREDO NEVES;6731;ESCRITORIO CENTRAL;CENTRAL HIDRELÃ‰TRICA DE ITAIPU;Foz do IguaÃ§u;PR;85866900
884;PRAÃ‡A ALFREDO EGYDIO DE SOUZA ARANHA;100;5Âº ANDAR - PARTE;PARQUE JABAQUARA;SÃ£o Paulo;SP;4344902
423211;AV ANTONIO CARLOS MAGALHAES;3244;ED THOME DE SOUZA, SALA 614;CAMINHO DAS ARVORES;Salvador;BA;41820000
418161;AV RIO BRANCO;1132;6Âº ANDAR - SALA 63;ALTO CAFEZAL;MarÃ­lia;SP;17502000
422029;AV. DAS AMÃ‰RICAS;3.200;204 a 209;BARRA DA TIJUCA;Rio de Janeiro;RJ;22640102
424323;ESTRADA DO TINDIBA;1630;;TAQUARA;Rio de Janeiro;RJ;22740362
419095;RUA PASCHOAL BARDARO;2055;SALAS 02 E 03;JARDIM BOTANICO;RibeirÃ£o Preto;SP;14021655
364592;RUA BAHIA;108;TORRE A - SALA 212 - CONDOMÃNIO ATIBAIA ;RECREIO ESTORIL;Atibaia;SP;12944060
422339;Avenida Almirante JÃºlio de SaÂ¿ Bierrenba;200;BLC 002 SAL 0301 BLC 002 SAL 0302 BLC 00;BARRA DA TIJUCA;Rio de Janeiro;RJ;22775028
418706;RUA GERMANIA;830;;BONFIM;Campinas;SP;13070770
418595;AV PROFESSOR CARVALHO PINTO;69;;CENTRO;Caieiras;SP;7700210
414492;ALAMEDA DOS GUARAMOMIS;1176;TÃ‰RREO, 1Âº, 2Âº E 3Âº ANDARES;PLANALTO PAULISTA;SÃ£o Paulo;SP;4076012
423688;RUA RIO AMAPÃ;82;CJ VIERALVES;NOSSA SENHORA DAS GRAÃ‡AS;Manaus;AM;69053150
418536;RUA XV DE NOVEMBRO ;1155;SALA 1002;CENTRO;Curitiba;PR;80060000
379280;AVENIDA PAULISTA;1079;7Âº ANDAR;BELA VISTA;SÃ£o Paulo;SP;1311200
421685;Rua Duque de Caxias ;302;601.0;Centro;Barra Mansa;RJ;27345010
422479;Avenida Brigadeiro Luis AntÃ´nio;487;4 andar, Sala 41;Bela Vista ;SÃ£o Paulo;SP;1132000
418374;SETOR DE HABITAÃ‡Ã•ES COLETIVAS GEMINADAS ;QUADRA 704/705;BLOCO C, LOJA 48;ASA NORTE;BrasÃ­lia;DF;70730630
412490;RUA PARIQUIS;1056;;JURUNAS;BelÃ©m;PA;66033590
